model,variant,seed,n_samples,n_pids,fold_r2_mean,fold_r2_std,overall_r2
rf,wconly,1024,2216,108,-0.07733045240493,0.14920363034965345,-0.014402658777348032
mlp,wconly,1024,2216,108,0.0007091714401064042,0.12595058712518015,0.04682986028239333
ridge,wconly,2048,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,2048,2216,108,-0.07620162349845057,0.14151908979025093,-0.011044225322646595
mlp,wconly,2048,2216,108,-0.06967766984499393,0.21503755597786983,-0.0022552988501705062
ridge,wconly,3333,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,3333,2216,108,-0.09010264546766485,0.15280440050213204,-0.021122495699979593
mlp,wconly,3333,2216,108,0.05106616970121869,0.18279586134672704,0.12333071701955656
ridge,wconly,5555,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,5555,2216,108,-0.0777191490554813,0.14156878333419573,-0.01482567567111559
mlp,wconly,5555,2216,108,0.06576468876856292,0.1566627725527299,0.10060727664583735
ridge,wconly,7777,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,7777,2216,108,-0.08448399894205774,0.14812021418355872,-0.01847392719660812
mlp,wconly,7777,2216,108,-0.006308755383938602,0.12059514867656851,0.02895873841476193
ridge,wconly,9999,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,9999,2216,108,-0.0842160291257585,0.1428238437967282,-0.02119449422202302
mlp,wconly,9999,2216,108,0.042776761847630795,0.20497494938617097,0.07865452183708477
ridge,wconly,100,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,100,2216,108,-0.07591994982367418,0.1501275277602898,-0.009270019378404326
mlp,wconly,100,2216,108,-0.06336905891001529,0.16981748855257062,-0.007901904567856333
ridge,wconly,200,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,200,2216,108,-0.07974412066460088,0.1446863966136348,-0.01627571584769516
mlp,wconly,200,2216,108,-0.027206603984802256,0.2255032925629125,0.04885720168262209
ridge,wconly,300,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,300,2216,108,-0.08565915867312379,0.14566253322181685,-0.023561866624633332
mlp,wconly,300,2216,108,0.12037369612490464,0.19823508234489928,0.160030806869898
ridge,wconly,400,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,400,2216,108,-0.08002152955281494,0.15467076788950046,-0.012491690087533813
mlp,wconly,400,2216,108,0.04825125292966892,0.2408372686521358,0.13390912560391344
ridge,wconly,500,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,500,2216,108,-0.08510039764582591,0.1458737747472233,-0.021536652919362576
mlp,wconly,500,2216,108,0.016934070774346343,0.1939531880946333,0.08142213696690803
ridge,wconly,1234,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,1234,2216,108,-0.08176448935138461,0.1529173114480895,-0.014955427857028525
mlp,wconly,1234,2216,108,-0.059367431303999595,0.14719310224127727,-0.018791057601888816
ridge,wconly,5678,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,5678,2216,108,-0.08566381058938306,0.14902680150913591,-0.020572935376923507
mlp,wconly,5678,2216,108,0.032857691925444896,0.20156926557742402,0.0753249234712553
ridge,wconly,8888,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,8888,2216,108,-0.0830118339432411,0.14620670525470542,-0.01998497236426089
mlp,wconly,8888,2216,108,-0.04162915459093521,0.14439011116348555,0.0024906991128627043
ridge,wconly,31337,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,31337,2216,108,-0.08004420418891947,0.14724671373912446,-0.013208607545205364
mlp,wconly,31337,2216,108,-0.02409540971671691,0.1447232385286426,0.0193075224003062
