job_id,dataset_path,target_col,variant,seed,lookback,hidden_dim,num_layers,dropout,lr,weight_decay,n_samples,n_pids,overall_r2,fold_r2_mean,fold_r2_std,elapsed_sec
swcA_w12_s1_h20_archnew_supportwc_seed400,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window12_stride1.csv,next_20wk_weight_change,supportwc,400,4,64,2,0.2,0.001,0.001,1583,93,0.2333461556771376,0.1653589129447937,0.218355290210508,19.56670570373535
swcC_w6_s3_h20_archnew_wconly_seed7777,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window6_stride3.csv,next_20wk_weight_change,wconly,7777,4,64,2,0.2,0.001,0.001,558,95,0.2552599491160613,0.2510802268981933,0.265832546338238,10.620908498764038
stype_w6_s1_h20_archnew_swc_no_diet_seed1234,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_no_diet,1234,4,64,2,0.2,0.001,0.001,2216,108,0.3251264436256385,0.2459883451461792,0.2106537156019722,41.69723296165466
lkb_w6_s1_h20_archold_wconly_lkb8_seed2048,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,wconly,2048,8,32,2,0.3,0.001,0.001,1796,101,0.3029041361727226,0.2909918069839478,0.1620621110494038,37.17332696914673
swcB_w6_s1_h4_archold_supportwc_seed42,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_4wk_weight_change,supportwc,42,4,32,2,0.3,0.001,0.001,3893,118,0.1666804326420862,0.1638936042785644,0.1295170938661746,57.34712243080139
swcA_w8_s1_h20_archold_supportwc_seed42,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window8_stride1.csv,next_20wk_weight_change,supportwc,42,4,32,2,0.3,0.001,0.001,1990,104,0.2095218641435098,0.1339563965797424,0.1017758809479056,24.25033140182495
swcA_w2_s1_h20_archnew_supportwc_seed8888,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window2_stride1.csv,next_20wk_weight_change,supportwc,8888,4,64,2,0.2,0.001,0.001,2691,110,0.2572603360842983,0.2091379165649414,0.0902161850946621,39.00501370429993
stype_w6_s1_h20_archnew_swc_no_activity_seed200,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_no_activity,200,4,64,2,0.2,0.001,0.001,2216,108,0.2860776499906842,0.2301527976989746,0.1373767210532526,42.858630657196045
lkb_w6_s1_h20_archnew_wconly_lkb6_seed9999,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,wconly,9999,6,64,2,0.2,0.001,0.001,2002,104,0.3044682004066692,0.2338138103485107,0.2159008582574666,30.801659107208252
lkb_w6_s1_h20_archold_supportwc_lkb6_seed2048,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,supportwc,2048,6,32,2,0.3,0.001,0.001,2002,104,0.2926377972781639,0.251731264591217,0.1266542707826657,35.3213312625885
